node,lagoon,station,season,date_collected,pigment,areal_concentration_mg_m2,mass_concentration_ug_g,flag,station_name,latitude,longitude,habitat_type,station_sampling_priority
East,Jago,JALS2,open water,2019-08-08,Fucoxanthin,72.5589043320959,2.02110339605293,OK,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JALS2,open water,2019-08-08,Peridinin,0.248385607593548,0.00691869591553257,OK,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Kaktovik,KALD2,open water,2018-08-07,Chlorophyll a,184.993560051647,5.25204471023673,OK,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,open water,2018-08-07,Chlorophyllide,11.881445834341,0.337319227365499,OK,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,open water,2018-08-07,Pheophorbide,94.0488838921157,2.67008723444941,OK,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,open water,2018-08-07,Alloxanthin,2.18340726667474,0.0619878474798259,OK,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,open water,2018-08-07,Zeaxanthin,3.2697793756394,0.0928304070080797,OK,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,open water,2018-08-07,Pheophytin,75.9878096852416,2.15732576738579,OK,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,open water,2018-08-07,Peridinin,0.780949992755175,0.0221714976308588,OK,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,open water,2018-08-07,Fucoxanthin,110.378400482622,3.13368905499899,OK,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,under ice,2019-04-26,Zeaxanthin,3.33405062777864,0.116726177105414,OK,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,under ice,2019-04-26,Pheophytin,66.0308164263307,2.31175996800331,OK,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,under ice,2019-04-26,Pheophorbide,48.8301493700835,1.70955912185824,OK,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,under ice,2019-04-26,Chlorophyll a,207.826983644835,7.27608906058329,OK,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,under ice,2019-04-26,Peridinin,0.582045323703355,0.0203775926411897,OK,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,under ice,2019-04-26,Fucoxanthin,114.069609169704,3.99361344166493,OK,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,under ice,2019-04-26,Alloxanthin,2.14867336562631,0.0752257406435625,OK,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,under ice,2019-04-26,Chlorophyllide,14.5284729027141,0.508646475546566,OK,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,break up,2019-06-20,Chlorophyll a,226.576639039686,6.25452701979234,OK,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,break up,2019-06-20,Pheophytin,64.3481329395251,1.77629581694411,OK,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,break up,2019-06-20,Peridinin,1.46526349772939,0.0404478156993875,OK,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
